Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Bojan Bogdanovic,18700000.0,18812374.0,18032239.0,11321160.0,11646253.0,4027812.0,3900038.0,3736713.0,,,,,,,,,,,,,,,,,,
Lonzo Ball,18604651.0,11597045.0,9248757.0,8045528.0,6972844.0,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,18500000.0,20867507.0,3743868.0,2867811.0,2828375.0,2750801.0,,,,,,,,,,,,,,,,,,,,
Eric Gordon,18218818.0,17778765.0,14911315.0,14556182.0,14355970.0,13962175.0,17663155.0,16983850.0,16620114.0,16183445.0,4611501.0,3760327.0,3552039.0,3257148.0,,,,,,,,,,,,
Eric Bledsoe,18125000.0,17784807.0,16573749.0,16173086.0,16082921.0,15781991.0,15370125.0,14819180.0,3056059.0,2021896.0,1921499.0,1851070.0,,,,,,,,,,,,,,
Myles Turner,18000000.0,18970461.0,19092959.0,3552681.0,2754106.0,2683434.0,2593520.0,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,18000000.0,18970461.0,9047290.0,9703852.0,10504492.0,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,17905263.0,19918984.0,21102745.0,3288947.0,2205600.0,2149101.0,2077084.0,,,,,,,,,,,,,,,,,,,
Ricky Rubio,17800000.0,17916546.0,17183663.0,15957445.0,15639254.0,15105620.0,14459303.0,5780262.0,4656708.0,4429389.0,4188934.0,,,,,,,,,,,,,,,
Clint Capela,17603448.0,18970461.0,17922510.0,17028216.0,2589381.0,1461232.0,1414871.0,1355613.0,,,,,,,,,,,,,,,,,,
Caris LeVert,17500000.0,17077318.0,2785150.0,1835968.0,1810692.0,1761134.0,,,,,,,,,,,,,,,,,,,,
Jonathan Isaac,17400000.0,7759514.0,6159006.0,5357690.0,4643327.0,,,,,,,,,,,,,,,,,,,,,
Joe Harris,17357143.0,16937912.0,8132186.0,8985047.0,1690708.0,1105225.0,962123.0,1008706.0,,,,,,,,,,,,,,,,,,
Evan Fournier,17142857.0,18074633.0,18191347.0,18329498.0,18855838.0,19163846.0,2605183.0,1691575.0,1655420.0,1611862.0,,,,,,,,,,,,,,,,
Steven Adams,17073171.0,31188170.0,27411865.0,26046545.0,24925101.0,3540258.0,2594750.0,2490716.0,2432865.0,,,,,,,,,,,,,,,,,
Markelle Fultz,16500000.0,12951236.0,10336928.0,8992106.0,7793273.0,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,16409091.0,19114177.0,21069755.0,23279443.0,6105319.0,4905178.0,4749573.0,4550674.0,,,,,,,,,,,,,,,,,,
Gary Trent Jr,16225000.0,1753567.0,1502883.0,904036.0,,,,,,,,,,,,,,,,,,,,,,
OG Anunoby,16071429.0,4080983.0,2420350.0,2105477.0,1824801.0,,,,,,,,,,,,,,,,,,,,,
Davis Bertans,16000000.0,15808717.0,7425039.0,7547440.0,1455904.0,612646.0,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,15690909.0,7094433.0,5622240.0,4890870.0,4238836.0,,,,,,,,,,,,,,,,,,,,,
Derrick White,15678571.0,3705862.0,2066367.0,1797541.0,1557935.0,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,15650000.0,1753567.0,1502883.0,83291.0,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,15627907.0,15686169.0,15910799.0,5795356.0,5545834.0,5213693.0,5692639.0,3539847.0,2439706.0,2320541.0,2194637.0,,,,,,,,,,,,,,,
Will Barton,15625000.0,14463094.0,13552592.0,12755560.0,3919056.0,3983073.0,4022797.0,1043319.0,917900.0,651185.0,,,,,,,,,,,,,,,,
