Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Jamal Crawford,,,,,"$289,803","$307,399","$4,698,113","$5,065,531","$15,270,762","$16,937,824","$13,253,012","$14,939,922","$5,675,000","$6,461,145","$5,450,000","$6,212,656","$5,225,000","$6,079,602","$5,000,000","$5,919,870","$5,000,000","$6,018,376","$10,800,000","$13,462,330","$9,360,000","$11,790,250","$8,640,000","$10,728,027","$7,920,000","$10,327,869","$7,200,000","$9,641,257","$6,480,000","$9,051,877","$5,760,000","$8,249,704","$2,577,937","$3,812,820","$2,026,680","$3,060,816","$1,894,560","$2,891,822","$1,762,320","$2,777,350",,,,,,,,
Tyler Zeller,,,,,"$245,686","$260,604","$213,948","$230,678","$1,709,538","$1,896,163","$8,000,000","$9,018,280","$2,616,975","$2,979,498","$1,703,760","$1,942,179","$1,633,440","$1,900,606","$1,563,120","$1,850,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan Bender,,,,,"$189,700","$201,218","$4,661,280","$5,025,819","$4,468,800","$4,956,645","$4,276,320","$4,820,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,,,,,"$183,115","$194,233","$2,559,925","$2,760,125","$8,105,615","$8,990,480","$7,612,172","$8,581,088","$8,229,375","$9,369,372","$4,702,500","$5,360,553","$4,500,000","$5,236,021","$3,243,000","$3,839,627","$3,059,000","$3,682,042","$3,703,472","$4,616,422","$2,916,120","$3,673,267","$2,725,920","$3,384,692","$2,535,720","$3,306,639",,,,,,,,,,,,,,,"$100,000","$163,475",,,,,,
Joe Chealey,,,,,"$163,356","$173,274","$77,250","$83,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Williams,,,,,"$161,245","$171,035","$127,250","$137,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP Macura,,,,,"$106,181","$112,628","$77,250","$83,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Mac,,,,,"$91,557","$97,116",,,"$1,312,611","$1,455,904","$543,471","$612,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah Bolden,,,,,"$89,846","$95,301","$1,690,000","$1,822,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Wright-Foreman,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
