Player,AVG SALARY
Luol Deng,10902533.5
Kendrick Nunn,2076881.0
Louis Williams,5836263.882352941
Danuel House,2272551.5
Rui Hachimura,4867513.0
Taj Gibson,7146622.384615385
Garrett Temple,3838582.0833333335
Torrey Craig,2202190.0
Bruce Brown,2224147.0
Deni Avdija,4701476.0
Donte DiVincenzo,3411251.25
Cam Reddish,4624010.0
David Nwaba,1783329.3333333333
Furkan Korkmaz,2341691.6
Davion Mitchell,4603200.0
Ishmael Smith,3674737.1666666665
Bryn Forbes,2575110.5
Jeff Green,6333045.857142857
Jalen Smith,4466312.5
Lonnie Walker,3244129.25
Cameron Johnson,4392948.666666667
Ziaire Williams,4373040.0
Moe Harkless,6309366.5
Bobby Portis,4508814.714285715
Kevin Huerter,3096884.0
Devin Vassell,4243030.0
Chandler Hutchison,2855142.0
Willie Cauley-Stein,3985109.0
PJ Washington,4173386.3333333335
James Bouknight,4154400.0
Jevon Carter,2662670.5
Josh Okogie,2974755.25
Grayson Allen,2888386.75
Jarred Vanderbilt,2052621.5
Tyrese Haliburton,4031015.5
Tyler Herro,3964608.6666666665
Terence Davis,2184225.6666666665
Dorian Finney-Smith,2698810.3333333335
Gorgui Dieng,8808039.333333334
Aaron Holiday,2723005.5
Josh Primo,3946800.0
Jake Layman,2583596.6666666665
Anfernee Simons,2643470.5
Justise Winslow,6265818.714285715
Kira Lewis,3829349.5
Romeo Langford,3766576.0
Sekou Doumbouya,3639698.3333333335
Landry Shamet,2481665.0
Chris Duarte,3749400.0
Alex Len,4406781.555555556
Robert Williams,2410664.75
Aaron Nesmith,3638028.5
Moses Moody,3562200.0
Mike Muscala,2481872.3333333335
Boban Marjanovic,5052583.0
Cole Anthony,3455817.5
Corey Kispert,3383640.0
Luka Samanic,3061693.6666666665
Georges Niang,1580868.0
Michael Carter-Williams,2778916.3333333335
Chuma Okeke,3283215.5
Isaiah Stewart,3283215.5
Nickeil Alexander-Walker,3229116.3333333335
Alperen Sengun,3214680.0
Jon Leuer,4612981.8
Trey Burke,2438557.888888889
Aleksej Pokusevski,3118923.5
Facundo Campazzo,3236263.0
Goga Bitadze,3067722.0
Trey Murphy,3053760.0
Frank Jackson,1568856.6
Sterling Brown,1775369.0
Josh Green,2963072.0
Tre Mann,2901240.0
Andrew Nicholson,2978229.0
Matisse Thybulle,2812188.3333333335
Saddiq Bey,2829632.5
Kai Jones,2770560.0
Brandon Clarke,2699830.0
Precious Achiuwa,2716327.5
Marc Gasol,14967044.785714285
Jalen Johnson,2659680.0
Paul Millsap,13566153.8125
E'Twaun Moore,4346777.818181818
Markieff Morris,4966010.454545454
Udonis Haslem,4404360.368421053
Dwight Howard,16039168.333333334
Trevor Ariza,7552617.333333333
Wayne Ellington,3863498.230769231
Carmelo Anthony,15071197.05263158
Avery Bradley,5926882.083333333
Enes Kanter,10382302.181818182
Andre Iguodala,11997197.555555556
Ed Davis,4379668.5
James Johnson,6699436.615384615
LaMarcus Aldridge,15280756.8125
Grant Williams,2591874.0
Tyrese Maxey,2607702.5
Keon Johnson,2553240.0
Darius Bazley,2488360.6666666665
Trey Lyles,3664908.1428571427
Zeke Nnaji,2503453.5
Isaiah Jackson,2451240.0
Ty Jerome,2388905.0
Hassan Whiteside,11506171.2
Kent Bazemore,8728423.6
Austin Rivers,6024369.6
Andre Drummond,15247591.4
Cody Zeller,9155066.777777778
Ben McLemore,3797571.0
Solomon Hill,7088389.0
Tony Snell,6375122.0
Victor Oladipo,13027603.222222222
Otto Porter,15430093.333333334
Leandro Bolmaro,2353320.0
Usman Garuba,2353320.0
Willy Hernangomez,1782100.8333333333
Edmond Sumner,1457709.4
Nassir Little,2293144.0
RJ Hampton,2307390.0
DeAndre Bembry,2009227.0
Josh Christopher,2259240.0
Monta Ellis,7691422.3125
Drew Eubanks,1028861.25
Elfrid Payton,3901567.5
Rodney Hood,3734690.375
Dylan Windler,2217097.3333333335
Immanuel Quickley,2214839.0
John Konchar,1499206.3333333333
Quentin Grimes,2168640.0
Jordan Poole,2140006.6666666665
Bol Bol,1471586.6666666667
Keldon Johnson,2124406.3333333335
Payton Pritchard,2141499.5
Jahlil Okafor,3395162.285714286
Bones Hyland,2096880.0
Raul Neto,1679797.857142857
Frank Kaminsky,3156948.4285714286
Nemanja Bjelica,5290680.285714285
Udoka Azubuike,2079734.0
Jaden McDaniels,2066984.5
Malachi Flynn,2051902.5
DeMarcus Cousins,8649740.166666666
Cam Thomas,2036280.0
Desmond Bane,2037001.0
Jaden Springer,2023680.0
Day'Ron Sharpe,2009160.0
Abdel Nader,1669010.0
Kenrich Williams,1628687.0
Theo Maledon,2053914.5
Jeremiah Robinson-Earl,2000000.0
Jordan McLaughlin,871772.6666666666
Garrison Mathews,936515.3333333334
